ENR325  OSCAR
ENR326  OSM
ENR327  PAPPA
ENR328  PARP1
ENR329  PCSK9
ENR330  PDCD1LG2
ENR331  PDGFA
ENR332  PDGFB
ENR333  PDGFRA
ENR334  PECAM1
ENR335  PGF
ENR336  PGLYRP1
ENR337  PI3
ENR338  PIGR
ENR339  PLAT
ENR340  PLAU
ENR341  PLAUR
ENR342  PLXNB1
ENR343  PLXNB3
ENR344  PODXL
ENR345  PON3
ENR346  PPY
ENR347  PRELP
ENR348  PRSS27
ENR349  PRSS8
ENR350  PRTG
ENR351  PRTN3
ENR352  PTX3
ENR353  PVR
ENR354  RARRES2
ENR355  REN
ENR356  RET
ENR357  RETN
ENR358  RGMA
ENR359  RGMB
ENR360  ROBO2
ENR361  RSPO1
ENR362  RSPO3
ENR363  S100A11
ENR364  S100A12
ENR365  S100A4
ENR366  SCAMP3
ENR367  SCARA5
ENR368  SCARB2
ENR369  SCARF2
ENR370  SCGB3A2
ENR371  SDC1
ENR372  SELE
ENR373  SELP
ENR374  SELPLG
ENR375  SERPINA12
ENR376  SERPINE1
ENR377  SEZ6L
ENR378  SFTPD
ENR379  SIGLEC1
ENR380  SIGLEC9
ENR381  SIRPA
ENR382  SIRT2
ENR383  SLAMF1
ENR384  SLAMF7
ENR385  SMAD5
ENR386  SMOC2
ENR387  SMPD1
ENR388  SOD2
ENR389  SORT1
ENR390  SPARC
ENR391  SPOCK1
ENR392  SPON1
ENR393  SPON2
ENR394  SPP1
ENR395  SRC
ENR396  STAMBP
ENR397  STK4
ENR398  SULT1A1
ENR399  TCL1A
ENR400  TEK
ENR401  TFF3
ENR402  TFPI
ENR403  TFPI2
ENR404  TFRC
ENR405  TGFA
ENR406  TGFB1
ENR407  TGFBR2
ENR408  TGM2
ENR409  THBD
ENR410  THBS2
ENR411  THPO
ENR412  THY1
ENR413  TIMP4
ENR414  TLR3
ENR415  TMPRSS5
ENR416  TNF
ENR417  TNFRSF10A
ENR418  TNFRSF10B
ENR419  TNFRSF10C
ENR420  TNFRSF11A
ENR421  TNFRSF11B
ENR422  TNFRSF12A
ENR423  TNFRSF13B
ENR424  TNFRSF14
ENR425  TNFRSF19
ENR426  TNFRSF1A
ENR427  TNFRSF1B
ENR428  TNFRSF21
ENR429  TNFRSF4
ENR430  TNFRSF6B
ENR431  TNFRSF9
ENR432  TNFSF10
ENR433  TNFSF11
ENR434  TNFSF12
ENR435  TNFSF13
ENR436  TNFSF13B
ENR437  TNFSF14
ENR438  TNR
ENR439  TREML2
ENR440  TSLP
ENR441  TXLNA
ENR442  ULBP2
ENR443  UNC5C
ENR444  VEGFA
ENR445  VIM
ENR446  VSIG2
ENR447  VWC2
ENR448  VWF
ENR449  WFDC2
ENR450  WFIKKN1
ENR451  WIF1
ENR452  WISP1
ENR453  XCL1
ENR454  XPNPEP2
